name,test_auc_roc_score,seed,test_tp,test_tn,test_fn,test_fp,test_se,test_sp,test_mcc,test_acc,test_F1,test_BA
Q9UHD2,0.902298851,1236,186,4,0,25,1,0.137931034,0.348695418,0.88372093,0.937027708,0.568965517
Q9UIK4,1,1232,3,0,0,2,1,0,,0.6,0.75,0.5
Q9UK32,1,1238,3,4,1,0,0.75,1,0.774596669,0.875,0.857142857,0.875
Q9UKE5,0.9375,1236,15,0,1,5,0.9375,0,-0.125,0.714285714,0.833333333,0.46875
Q9UL54,1,1232,0,3,2,0,0,1,,0.6,,0.5
Q9UM73,0.983068783,1231,87,16,3,5,0.966666667,0.761904762,0.757586669,0.927927928,0.956043956,0.864285714
Q9UPE1,1,1231,0,2,1,0,0,1,,0.666666667,,0.5
Q9UPZ9,1,1232,2,0,0,1,1,0,,0.666666667,0.8,0.5
Q9UQB9,0.916666667,1239,6,0,0,2,1,0,,0.75,0.857142857,0.5
Q9UQM7,1,1231,2,1,0,1,1,0.5,0.577350269,0.75,0.8,0.75
Q9WUD9,1,1231,3,0,0,1,1,0,,0.75,0.857142857,0.5
Q9Y243,0.994949495,1239,18,10,0,1,1,0.909090909,0.928032337,0.965517241,0.972972973,0.954545455
Q9Y2K2,1,1232,1,2,1,0,0.5,1,0.577350269,0.75,0.666666667,0.75
Q9Y2U5,1,1237,4,0,0,2,1,0,,0.666666667,0.8,0.5
Q9Y463,0.921212121,1238,33,4,0,6,1,0.4,0.581774474,0.860465116,0.916666667,0.7
Q9Y4K4,0.9375,1238,3,4,1,0,0.75,1,0.774596669,0.875,0.857142857,0.875
Q9Y572,0.914529915,1231,8,12,1,1,0.888888889,0.923076923,0.811965812,0.909090909,0.888888889,0.905982906
Q9Y616,1,1231,3,0,0,2,1,0,,0.6,0.75,0.5
Q9Y6E0,1,1232,3,0,0,1,1,0,,0.75,0.857142857,0.5
Q9Y6M4,1,1232,0,2,1,0,0,1,,0.666666667,,0.5
Q9Y6R4,1,1231,0,2,1,0,0,1,,0.666666667,,0.5
