name,test_auc_roc_score,seed,test_tp,test_tn,test_fn,test_fp,test_se,test_sp,test_mcc,test_acc,test_F1,test_BA
Q02750,0.973214286,1231,64,9,0,5,1,0.642857143,0.772187343,0.935897436,0.962406015,0.821428571
Q02763,0.953125,1231,63,15,1,8,0.984375,0.652173913,0.724596981,0.896551724,0.933333333,0.818274457
Q02779,1,1232,2,2,0,0,1,1,1,1,1,1
Q04759,0.95738204,1231,72,6,1,3,0.98630137,0.666666667,0.730457505,0.951219512,0.972972973,0.826484018
Q04771,1,1238,25,2,0,3,1,0.4,0.597614305,0.9,0.943396226,0.7
Q04912,1,1232,10,0,0,3,1,0,,0.769230769,0.869565217,0.5
Q05397,0.954751131,1233,65,62,13,6,0.833333333,0.911764706,0.74362738,0.869863014,0.872483221,0.87254902
Q05513,0.970238095,1239,5,20,3,1,0.625,0.952380952,0.637055912,0.862068966,0.714285714,0.788690476
Q05655,0.930020284,1231,58,6,0,11,1,0.352941176,0.544678981,0.853333333,0.913385827,0.676470588
Q06187,0.961775878,1240,485,5,1,21,0.997942387,0.192307692,0.388131393,0.95703125,0.977822581,0.59512504
Q06418,0.926215278,1234,64,8,0,10,1,0.444444444,0.619987407,0.87804878,0.927536232,0.722222222
Q07912,0.932680539,1236,42,12,1,7,0.976744186,0.631578947,0.688930868,0.870967742,0.913043478,0.804161567
Q08345,0.932443048,1234,131,4,3,15,0.97761194,0.210526316,0.296948315,0.882352941,0.935714286,0.594069128
Q08881,0.96039604,1238,99,10,2,9,0.98019802,0.526315789,0.616348405,0.908333333,0.947368421,0.753256905
Q09013,1,1232,1,2,1,0,0.5,1,0.577350269,0.75,0.666666667,0.75
Q12851,0.967105263,1232,7,17,1,2,0.875,0.894736842,0.745601135,0.888888889,0.823529412,0.884868421
Q12852,1,1231,64,0,0,3,1,0,,0.955223881,0.977099237,0.5
Q12866,0.96369637,1233,99,8,2,7,0.98019802,0.533333333,0.613932109,0.922413793,0.956521739,0.756765677
Q13043,1,1231,9,0,0,3,1,0,,0.75,0.857142857,0.5
Q13131,0.948275862,1233,29,0,0,4,1,0,,0.878787879,0.935483871,0.5
Q13153,1,1232,18,8,0,0,1,1,1,1,1,1
Q13163,0.8,1236,6,1,0,4,1,0.2,0.346410162,0.636363636,0.75,0.6
Q13164,0.888888889,1237,6,2,0,4,1,0.333333333,0.447213595,0.666666667,0.75,0.666666667
Q13177,1,1231,3,0,0,2,1,0,,0.6,0.75,0.5
Q13188,0.875,1239,8,0,0,4,1,0,,0.666666667,0.8,0.5
Q13233,1,1231,0,3,1,0,0,1,,0.75,,0.5
Q13315,1,1234,17,6,0,1,1,0.857142857,0.899735411,0.958333333,0.971428571,0.928571429
Q13418,0.984848485,1231,11,1,0,5,1,0.166666667,0.3385016,0.705882353,0.814814815,0.583333333
Q13464,0.902962963,1240,102,30,6,20,0.944444444,0.6,0.603697371,0.835443038,0.886956522,0.772222222
Q13470,0.933333333,1232,15,0,0,2,1,0,,0.882352941,0.9375,0.5
Q13535,0.937712895,1238,134,12,3,18,0.97810219,0.4,0.507648001,0.874251497,0.92733564,0.689051095
Q13546,0.936781609,1240,29,0,0,6,1,0,,0.828571429,0.90625,0.5
Q13555,0.833333333,1232,3,0,0,2,1,0,,0.6,0.75,0.5
Q13557,1,1231,40,0,0,1,1,0,,0.975609756,0.987654321,0.5
Q13627,0.964126984,1240,177,20,3,15,0.983333333,0.571428571,0.662616694,0.91627907,0.951612903,0.777380952
Q13705,1,1235,0,2,1,0,0,1,,0.666666667,,0.5
Q13873,1,1235,2,0,0,2,1,0,,0.5,0.666666667,0.5
Q13882,1,1232,15,4,0,2,1,0.666666667,0.766964989,0.904761905,0.9375,0.833333333
Q13976,1,1231,2,0,0,1,1,0,,0.666666667,0.8,0.5
Q14004,1,1240,2,2,0,0,1,1,1,1,1,1
Q14012,1,1233,0,3,1,0,0,1,,0.75,,0.5
Q14164,0.947772657,1236,52,55,11,7,0.825396825,0.887096774,0.713590588,0.856,0.852459016,0.8562468
Q14289,0.997493734,1239,20,18,1,1,0.952380952,0.947368421,0.899749373,0.95,0.952380952,0.949874687
Q14680,0.982363316,1240,81,3,0,4,1,0.428571429,0.639064442,0.954545455,0.975903614,0.714285714
Q15118,0.945378151,1240,68,4,0,10,1,0.285714286,0.499083409,0.87804878,0.931506849,0.642857143
Q15119,0.986413043,1234,62,18,2,5,0.96875,0.782608696,0.787496845,0.91954023,0.946564885,0.875679348
Q15120,1,1231,1,2,1,0,0.5,1,0.577350269,0.75,0.666666667,0.75
Q15139,0.989010989,1237,13,5,0,2,1,0.714285714,0.786795792,0.9,0.928571429,0.857142857
Q15303,0.933333333,1235,30,0,0,7,1,0,,0.810810811,0.895522388,0.5
Q15349,0.925925926,1233,27,0,0,6,1,0,,0.818181818,0.9,0.5
Q15375,0.833333333,1239,3,1,0,1,1,0.5,0.612372436,0.8,0.857142857,0.75
Q15418,0.952380952,1233,11,5,1,2,0.916666667,0.714285714,0.65477023,0.842105263,0.88,0.81547619
Q15569,1,1232,1,2,0,0,1,1,1,1,1,1
Q15746,1,1234,3,8,2,0,0.6,1,0.692820323,0.846153846,0.75,0.8
Q15759,1,1238,11,7,0,2,1,0.777777778,0.811245745,0.9,0.916666667,0.888888889
Q15835,1,1231,2,0,0,2,1,0,,0.5,0.666666667,0.5
Q16288,1,1232,11,4,0,0,1,1,1,1,1,1
Q16512,0.958333333,1237,3,6,1,0,0.75,1,0.801783726,0.9,0.857142857,0.875
Q16513,0.9375,1234,3,4,1,0,0.75,1,0.774596669,0.875,0.857142857,0.875
Q16539,1,1231,2,0,0,1,1,0,,0.666666667,0.8,0.5
Q16566,1,1232,0,2,1,0,0,1,,0.666666667,,0.5
Q16584,1,1237,15,2,0,2,1,0.5,0.664211164,0.894736842,0.9375,0.75
Q16620,1,1236,22,16,0,0,1,1,1,1,1,1
Q16654,1,1232,3,0,0,3,1,0,,0.5,0.666666667,0.5
Q16816,1,1238,2,0,0,2,1,0,,0.5,0.666666667,0.5
Q16832,0.954545455,1232,21,4,1,4,0.954545455,0.5,0.53935989,0.833333333,0.893617021,0.727272727
Q2M2I8,0.997368421,1236,76,0,0,5,1,0,,0.938271605,0.968152866,0.5
Q32MK0,1,1231,3,0,0,1,1,0,,0.75,0.857142857,0.5
Q56UN5,1,1240,5,0,0,2,1,0,,0.714285714,0.833333333,0.5
Q59H18,0.964285714,1238,14,1,0,3,1,0.25,0.453742606,0.833333333,0.903225806,0.625
Q5S007,0.962628866,1238,97,3,0,5,1,0.375,0.597174721,0.952380952,0.974874372,0.6875
Q5VT25,1,1234,1,3,2,0,0.333333333,1,0.447213595,0.666666667,0.5,0.666666667
